 DEFINICION --->  DEFINICION
 U = { 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 100 , a , b , c } --->  CONJUNTO_UNIVERSO IGUAL LLAVE_ABIERTA ELEMENTO COMA ELEMENTO COMA ELEMENTO COMA ELEMENTO COMA ELEMENTO COMA ELEMENTO COMA ELEMENTO COMA ELEMENTO COMA ELEMENTO COMA ELEMENTO COMA ELEMENTO COMA ELEMENTO LLAVE_CERRADA
 A = { 1 , 2 , 3 , 4 } --->  CONJUNTO IGUAL LLAVE_ABIERTA ELEMENTO COMA ELEMENTO COMA ELEMENTO COMA ELEMENTO LLAVE_CERRADA
 B = { 2 , 3 , 5 , 6 } --->  CONJUNTO IGUAL LLAVE_ABIERTA ELEMENTO COMA ELEMENTO COMA ELEMENTO COMA ELEMENTO LLAVE_CERRADA
 C = { 3 , 5 , 7 , 8 } --->  CONJUNTO IGUAL LLAVE_ABIERTA ELEMENTO COMA ELEMENTO COMA ELEMENTO COMA ELEMENTO LLAVE_CERRADA
 D = { 0 } --->  CONJUNTO IGUAL LLAVE_ABIERTA ELEMENTO LLAVE_CERRADA
 E = { a } --->  CONJUNTO IGUAL LLAVE_ABIERTA ELEMENTO LLAVE_CERRADA
 F = { } --->  CONJUNTO IGUAL LLAVE_ABIERTA LLAVE_CERRADA
 OPERACION --->  OPERACION
 A & B --->  CONJUNTO UNION CONJUNTO
 A & B --->  CONJUNTO UNION CONJUNTO
 ( A & B ) --->  PARENTESIS_ABIERTO CONJUNTO UNION CONJUNTO PARENTESIS_CERRADO
 A $ B --->  CONJUNTO INTERSECCION CONJUNTO
 A $ B --->  CONJUNTO INTERSECCION CONJUNTO
 A / B --->  CONJUNTO DIFERENCIA CONJUNTO
 A & E --->  CONJUNTO UNION CONJUNTO
 A * E --->  CONJUNTO PRODUCTO_CRUZ CONJUNTO
 A ^c --->  CONJUNTO COMPLEMENTO

